laptop__id,laptop__gpu__rendimiento_fp32_TFlops,laptop__gpu__cant_vram_GB,laptop__gpu__cache_total,laptop__cpu__cinebench_R23_single,laptop__cpu__cinebench_R23_multi,laptop__cpu__cache_total,laptop__disco_duro__generacion,fps
3,12.610,6,3.0,1507,12217,34.0,4,95
18,12.610,6,3.0,1700,14000,33.5,3,100
11,10.420,6,3.0,1578,6663,17.0,4,120
